flight_id date hour runway
221002BTI15M 221002 17 01L
221002BTI15P 221002 06 01L
221002BTI7HW 221002 18 01R
221002DLH1UV 221002 16 01L
221002DLH1YJ 221002 08 01L
221002DLH3UT 221002 10 01L
221002DLH4LF 221002 20 01L
221002DLH866 221002 07 01L
221002DLH8RJ 221002 16 01L
221002DLH9FT 221002 21 01L
221002ETH3640 221002 11 01R
221002ETH714 221002 06 01L
221002FEG3015 221002 16 01L
221002FHY493 221002 16 01L
221002FHY835 221002 12 01L
221002FHY851 221002 19 01L
221002FIN18N 221002 17 01L
221002FIN5KE 221002 05 01L
221002FIN8KM 221002 14 01L
221002FIN9KL 221002 10 01L
221002FJO64J 221002 18 01R
221002FLI434 221002 18 01L
221002FOX09S 221002 10 01R
221002FOX111 221002 11 01R
221002FOX13E 221002 17 01R
221002FOX17E 221002 08 01L
221002FOX21S 221002 17 01R
221002FOX30B 221002 13 01L
221002FOX37G 221002 08 01R
221002FOX39G 221002 19 01L
221002FOX405 221002 13 01R
221002FOX415 221002 18 01R
221002FOX44W 221002 14 01L
221002FOX453 221002 11 01R
221002FOX455 221002 21 01L
221002FOX45G 221002 16 01R
221002FOX46W 221002 16 01R
221002FOX49W 221002 20 01L
221002FOX509 221002 19 01R
221002FOX59G 221002 22 01R
221002FOX61C 221002 13 01L
221002FOX61D 221002 14 01R
221002FOX61T 221002 13 01R
221002FOX685 221002 13 01R
221002FOX68D 221002 14 01L
221002FOX70D 221002 19 01R
221002FOX76D 221002 19 01R
221002FOX77S 221002 15 01R
221002FOX78D 221002 12 01L
221002FOX81D 221002 19 01L
221002FOX82D 221002 20 01L
221002FOX8GR 221002 13 01R
221002FOX91S 221002 16 01L
221002FOX97D 221002 21 01L
221002FOX9BM 221002 20 01R
221002FPO4208 221002 17 01R
221002ICE318 221002 11 01R
221002ICE324 221002 19 01L
221002JTD9276 221002 13 01L
221002JTD9903 221002 02 01R
221002KLM1141 221002 06 01L
221002KLM1149 221002 16 01L
221002KLM1151 221002 20 01L
221002KLM19J 221002 14 01R
221002KLM65L 221002 11 01L
221002LOT4EB 221002 07 01R
221002LOT4YH 221002 17 01L
221002N162QS 221002 19 01R
221002NBT002 221002 11 01L
221002NBT702 221002 12 01L
221002NJE480G 221002 18 01R
221002NJE590A 221002 16 01R
221002NJE825G 221002 18 01R
221002NOZ1021 221002 15 01R
221002NOZ1053 221002 14 01L
221002NOZ1061 221002 13 01L
221002NOZ1077 221002 21 01L
221002NOZ1083 221002 21 01L
221002NOZ1087 221002 21 01L
221002NOZ109B 221002 20 01L
221002NOZ1107 221002 16 01L
221002NOZ1171 221002 12 01R
221002NOZ1191 221002 15 01L
221002NOZ11S 221002 21 01L
221002NOZ1309 221002 21 01L
221002NOZ1313 221002 21 01L
221002NOZ1495 221002 12 01L
221002NOZ1551 221002 10 01R
221002NOZ1641 221002 21 01L
221002NOZ1793 221002 21 01L
221002NOZ1871 221002 11 01R
221002NOZ191 221002 16 01R
221002NOZ195 221002 19 01R
221002NOZ1BG 221002 10 01R
221002NOZ1GP 221002 12 01L
221002NOZ1KD 221002 13 01R
221002NOZ1WC 221002 15 01L
221002NOZ275 221002 12 01R
221002NOZ277 221002 15 01L
221002NOZ27GE 221002 14 01L
221002NOZ321 221002 10 01R
221002NOZ33B 221002 10 01L
221002NOZ345 221002 14 01R
221002NOZ347 221002 16 01L
221002NOZ367 221002 15 01L
221002NOZ383 221002 16 01L
221002NOZ387 221002 20 01R
221002NOZ39S 221002 12 01R
221002NOZ3DB 221002 17 01R
221002NOZ3HC 221002 17 01R
221002NOZ3J 221002 15 01R
221002NOZ3NG 221002 12 01R
221002NOZ3PN 221002 15 01R
221002NOZ3QJ 221002 09 01L
221002NOZ3RG 221002 08 01L
221002NOZ3WD 221002 21 01L
221002NOZ3YM 221002 12 01R
221002NOZ403 221002 07 01R
221002NOZ405 221002 12 01R
221002NOZ413 221002 15 01R
221002NOZ417 221002 18 01R
221002NOZ429 221002 10 01R
221002NOZ431 221002 16 01L
221002NOZ47E 221002 22 01R
221002NOZ47Y 221002 19 01R
221002NOZ4TL 221002 10 01L
221002NOZ4YA 221002 21 01L
221002NOZ51Q 221002 08 01R
221002NOZ525 221002 06 01R
221002NOZ531 221002 10 01R
221002NOZ535 221002 13 01R
221002NOZ537 221002 14 01L
221002NOZ53Y 221002 10 01L
221002NOZ541 221002 11 01R
221002NOZ543 221002 16 01L
221002NOZ545 221002 17 01R
221002NOZ547 221002 18 01R
221002NOZ549 221002 19 01R
221002NOZ551 221002 20 01L
221002NOZ55J 221002 19 01R
221002NOZ57GW 221002 18 01L
221002NOZ57W 221002 18 01R
221002NOZ59B 221002 13 01R
221002NOZ5AY 221002 08 01R
221002NOZ5MN 221002 11 01L
221002NOZ5PY 221002 16 01L
221002NOZ611 221002 07 01R
221002NOZ617 221002 10 01R
221002NOZ625 221002 13 01R
221002NOZ631 221002 14 01L
221002NOZ641 221002 17 01R
221002NOZ645 221002 18 01R
221002NOZ653 221002 19 01R
221002NOZ655 221002 19 01R
221002NOZ657 221002 20 01L
221002NOZ6CM 221002 14 01L
221002NOZ6EJ 221002 10 01R
221002NOZ6MH 221002 10 01R
221002NOZ77Y 221002 12 01R
221002NOZ7WY 221002 16 01L
221002NOZ805 221002 09 01L
221002NOZ813 221002 11 01L
221002NOZ815 221002 14 01L
221002NOZ81R 221002 13 01L
221002NOZ827 221002 20 01L
221002NOZ829 221002 21 01L
221002NOZ85T 221002 21 01L
221002NOZ9061 221002 00 01R
221002NOZ91H 221002 12 01L
221002NOZ933 221002 08 01R
221002NOZ935 221002 09 01R
221002NOZ941 221002 14 01R
221002NOZ949 221002 18 01L
221002NOZ995 221002 13 01R
221002NOZ9EG 221002 19 01R
221002NOZ9JL 221002 17 01L
221002NOZ9PL 221002 07 01R
221002NOZ9T 221002 16 01L
221002NSZ3225 221002 17 01L
221002NSZ3239 221002 16 01L
221002NSZ3245 221002 20 01L
221002NSZ3KM 221002 13 01R
221002NSZ9VR 221002 11 01L
221002PGT58A 221002 11 01L
221002RTG5349 221002 13 01R
221002RUK37CG 221002 07 01L
221002RYR1MA 221002 16 01L
221002RYR263W 221002 10 01L
221002SAS1315 221002 09 01R
221002SAS1317 221002 12 01R
221002SAS1327 221002 16 01L
221002SAS1331 221002 19 01R
221002SAS1470 221002 18 01L
221002SAS1472 221002 18 01L
221002SAS1474 221002 22 01R
221002SAS1483 221002 21 01L
221002SAS210 221002 09 01R
221002SAS214 221002 07 01L
221002SAS216 221002 14 01R
221002SAS222 221002 18 01R
221002SAS2308 221002 19 01R
221002SAS248 221002 06 01R
221002SAS252 221002 08 01R
221002SAS264 221002 09 01R
221002SAS268 221002 11 01R
221002SAS286 221002 18 01R
221002SAS290 221002 20 01R
221002SAS315 221002 14 01R
221002SAS319 221002 20 01L
221002SAS32H 221002 20 01L
221002SAS33R 221002 15 01L
221002SAS359 221002 08 01R
221002SAS361 221002 12 01R
221002SAS365 221002 13 01R
221002SAS375 221002 16 01L
221002SAS385 221002 19 01R
221002SAS389 221002 18 01R
221002SAS394 221002 10 01R
221002SAS396 221002 14 01R
221002SAS398 221002 19 01R
221002SAS4016 221002 10 01R
221002SAS4018 221002 06 01R
221002SAS4032 221002 15 01L
221002SAS4038 221002 16 01L
221002SAS4044 221002 20 01R
221002SAS4083 221002 10 01R
221002SAS4095 221002 18 01R
221002SAS4113 221002 14 01R
221002SAS4117 221002 18 01R
221002SAS42C 221002 17 01R
221002SAS43H 221002 20 01L
221002SAS4417 221002 13 01R
221002SAS4473 221002 11 01R
221002SAS4479 221002 20 01R
221002SAS4525 221002 16 01L
221002SAS4545 221002 18 01L
221002SAS458 221002 13 01R
221002SAS460 221002 15 01L
221002SAS4602 221002 10 01R
221002SAS4604 221002 14 01L
221002SAS4610 221002 12 01L
221002SAS462 221002 16 01L
221002SAS4622 221002 14 01R
221002SAS4676 221002 12 01L
221002SAS46B 221002 13 01L
221002SAS4744 221002 11 01L
221002SAS4788 221002 21 01L
221002SAS47Y 221002 16 01R
221002SAS483 221002 07 01L
221002SAS489 221002 11 01L
221002SAS491 221002 14 01L
221002SAS493 221002 18 01L
221002SAS56C 221002 07 01R
221002SAS56M 221002 13 01R
221002SAS61K 221002 19 01L
221002SAS64H 221002 06 01R
221002SAS69C 221002 16 01L
221002SAS713B 221002 11 01L
221002SAS71A 221002 11 01L
221002SAS7324 221002 13 01R
221002SAS7370 221002 11 01R
221002SAS7380 221002 14 01R
221002SAS7396 221002 12 01L
221002SAS73B 221002 17 01L
221002SAS73L 221002 06 01L
221002SAS7416 221002 14 01L
221002SAS7490 221002 00 01R
221002SAS74M 221002 18 01R
221002SAS78L 221002 10 01L
221002SAS78T 221002 16 01R
221002SAS804 221002 11 01L
221002SAS806 221002 16 01L
221002SAS80M 221002 18 01L
221002SAS810 221002 18 01L
221002SAS822 221002 12 01L
221002SAS82P 221002 16 01R
221002SAS834 221002 14 01R
221002SAS83G 221002 18 01L
221002SAS842 221002 14 01R
221002SAS849 221002 08 01L
221002SAS85Z 221002 18 01R
221002SAS908 221002 05 01L
221002SAS91K 221002 14 01L
221002SAS92Y 221002 14 01R
221002SWR1210 221002 11 01L
221002SWR121G 221002 21 01L
221002TAP762K 221002 10 01L
221002TAP764K 221002 15 01L
221002TAY4482 221002 18 01R
221002THY2WY 221002 08 01L
221002THY4DQ 221002 15 01L
221002UAE72JH 221002 10 01L
221002VKG1587 221002 14 01L
221002VKG4535 221002 15 01L
221002VKG4538 221002 04 01L
221002VKG4548 221002 02 01R
